,key,param,minmax
0,oaat0000,kmax,min
1,oaat0001,kmax,max
2,oaat0002,psi50,min
3,oaat0003,psi50,max
4,oaat0004,jmaxb0,min
5,oaat0005,jmaxb0,max
6,oaat0006,jmaxb1,min
7,oaat0007,jmaxb1,max
8,oaat0008,wc2wjb0,min
9,oaat0009,wc2wjb0,max
10,oaat0010,slatop,min
11,oaat0011,slatop,max
12,oaat0012,grperc,min
13,oaat0013,grperc,max
14,oaat0014,lmr_intercept_atkin,min
15,oaat0015,lmr_intercept_atkin,max
16,oaat0016,medlynslope,min
17,oaat0017,medlynslope,max
18,oaat0018,medlynintercept,min
19,oaat0019,medlynintercept,max
20,oaat0020,theta_cj,min
21,oaat0021,theta_cj,max
22,oaat0022,tpu25ratio,min
23,oaat0023,tpu25ratio,max
24,oaat0024,lmrse,min
25,oaat0025,lmrse,max
26,oaat0026,cp25_yr2000,min
27,oaat0027,cp25_yr2000,max
28,oaat0028,vcmaxha,min
29,oaat0029,vcmaxha,max
30,oaat0030,jmaxha,min
31,oaat0031,jmaxha,max
32,oaat0032,tpuha,min
33,oaat0033,tpuha,max
34,oaat0034,lmrha,min
35,oaat0035,lmrha,max
36,oaat0036,kcha,min
37,oaat0037,kcha,max
38,oaat0038,koha,min
39,oaat0039,koha,max
40,oaat0040,cpha,min
41,oaat0041,cpha,max
42,oaat0042,vcmaxhd,min
43,oaat0043,vcmaxhd,max
44,oaat0044,jmaxhd,min
45,oaat0045,jmaxhd,max
46,oaat0046,tpuhd,min
47,oaat0047,tpuhd,max
48,oaat0048,lmrhd,min
49,oaat0049,lmrhd,max
50,oaat0050,froot_leaf,min
51,oaat0051,froot_leaf,max
52,oaat0052,leafcn,min
53,oaat0053,leafcn,max
54,oaat0054,leaf_long,min
55,oaat0055,leaf_long,max
56,oaat0056,fstor2tran,min
57,oaat0057,fstor2tran,max
58,oaat0058,crit_onset_gdd_sf,min
59,oaat0059,crit_onset_gdd_sf,max
60,oaat0060,FUN_fracfixers,min
61,oaat0061,FUN_fracfixers,max
62,oaat0062,a_fix,min
63,oaat0063,a_fix,max
64,oaat0064,kc_nonmyc,min
65,oaat0065,kc_nonmyc,max
66,oaat0066,kn_nonmyc,min
67,oaat0067,kn_nonmyc,max
68,oaat0068,akc_active,min
69,oaat0069,akc_active,max
70,oaat0070,akn_active,min
71,oaat0071,akn_active,max
72,oaat0072,ekc_active,min
73,oaat0073,ekc_active,max
74,oaat0074,ekn_active,min
75,oaat0075,ekn_active,max
76,oaat0076,fff,min
77,oaat0077,fff,max
78,oaat0078,e_ice,min
79,oaat0079,e_ice,max
