key,param,minmax
oaat0000,kmax,min
oaat0001,kmax,max
oaat0002,psi50,min
oaat0003,psi50,max
oaat0004,jmaxb0,min
oaat0005,jmaxb0,max
oaat0006,jmaxb1,min
oaat0007,jmaxb1,max
oaat0008,wc2wjb0,min
oaat0009,wc2wjb0,max
oaat0010,slatop,min
oaat0011,slatop,max
oaat0012,grperc,min
oaat0013,grperc,max
oaat0014,lmr_intercept_atkin,min
oaat0015,lmr_intercept_atkin,max
oaat0016,medlynslope,min
oaat0017,medlynslope,max
oaat0018,medlynintercept,min
oaat0019,medlynintercept,max
oaat0020,theta_cj,min
oaat0021,theta_cj,max
oaat0022,tpu25ratio,min
oaat0023,tpu25ratio,max
oaat0024,lmrse,min
oaat0025,lmrse,max
oaat0026,cp25_yr2000,min
oaat0027,cp25_yr2000,max
oaat0028,vcmaxha,min
oaat0029,vcmaxha,max
oaat0030,jmaxha,min
oaat0031,jmaxha,max
oaat0032,tpuha,min
oaat0033,tpuha,max
oaat0034,lmrha,min
oaat0035,lmrha,max
oaat0036,kcha,min
oaat0037,kcha,max
oaat0038,koha,min
oaat0039,koha,max
oaat0040,cpha,min
oaat0041,cpha,max
oaat0042,vcmaxhd,min
oaat0043,vcmaxhd,max
oaat0044,jmaxhd,min
oaat0045,jmaxhd,max
oaat0046,tpuhd,min
oaat0047,tpuhd,max
oaat0048,lmrhd,min
oaat0049,lmrhd,max
oaat0050,froot_leaf,min
oaat0051,froot_leaf,max
oaat0052,leafcn,min
oaat0053,leafcn,max
oaat0054,leaf_long,min
oaat0055,leaf_long,max
oaat0056,fstor2tran,min
oaat0057,fstor2tran,max
oaat0058,crit_onset_gdd_sf,min
oaat0059,crit_onset_gdd_sf,max
oaat0060,FUN_fracfixers,min
oaat0061,FUN_fracfixers,max
oaat0062,a_fix,min
oaat0063,a_fix,max
oaat0064,kc_nonmyc,min
oaat0065,kc_nonmyc,max
oaat0066,kn_nonmyc,min
oaat0067,kn_nonmyc,max
oaat0068,akc_active,min
oaat0069,akc_active,max
oaat0070,akn_active,min
oaat0071,akn_active,max
oaat0072,ekc_active,min
oaat0073,ekc_active,max
oaat0074,ekn_active,min
oaat0075,ekn_active,max
oaat0076,fff,min
oaat0077,fff,max
oaat0078,e_ice,min
oaat0079,e_ice,max
